species,freq_khz,mean_TS,se_TS
SMB,63.5,-50.35088364556445,0.05391100125894103
SMB,64,-50.28438382037249,0.05467631694951321
SMB,64.5,-50.194151893481454,0.05516013895507945
SMB,65,-50.17555911109296,0.05550893776314385
SMB,65.5,-50.206641675706585,0.05594420158350745
SMB,66,-50.170392220797254,0.05548242225997285
SMB,66.5,-50.142628554566244,0.055111084986115624
SMB,67,-50.11367143024016,0.05535586075757648
SMB,67.5,-50.01519372087894,0.05557547940889585
SMB,68,-49.90909589462506,0.0560793109453487
SMB,68.5,-49.75578607801013,0.05607999335571139
SMB,69,-49.635729448864566,0.05643270223741311
SMB,69.5,-49.51848171507923,0.056573105661059955
SMB,70,-49.419233643767356,0.05696151366989825
SMB,70.5,-49.3487134148015,0.0577295288660661
SMB,71,-49.25610542966835,0.057714715746849714
SMB,71.5,-49.1500376266133,0.05710338361049908
SMB,72,-49.05957838874367,0.05709286035582683
SMB,72.5,-48.94009882192452,0.05616405824864036
SMB,73,-48.842301149567064,0.05622299657568925
SMB,73.5,-48.73015115160921,0.05705742761181287
SMB,74,-48.60004735517072,0.05743977435664864
SMB,74.5,-48.42271585598758,0.057460655339797224
SMB,75,-48.24743618077112,0.057256929283066554
SMB,75.5,-48.108918060937754,0.05772098358808518
SMB,76,-47.89920071401732,0.05759752747108025
SMB,76.5,-47.69687674064695,0.05702843608515065
SMB,77,-47.521854385557916,0.05700997870582515
SMB,77.5,-47.392326110847904,0.05734754817457875
SMB,78,-47.248955888743666,0.056626957387102224
SMB,78.5,-47.15382999852965,0.05695076107383579
SMB,79,-47.06793109402059,0.05712858770039968
SMB,79.5,-46.99761327078909,0.05730624425120596
SMB,80,-46.92496419768012,0.05755304842539532
SMB,80.5,-46.87711828826989,0.05795159763125303
SMB,81,-46.85473561043947,0.05869257289653491
SMB,81.5,-46.82150460872406,0.058373112660556434
SMB,82,-46.781043694494365,0.0585636579566344
SMB,82.5,-46.746141732396666,0.05870111330643779
SMB,83,-46.68324378974024,0.05925441762281831
SMB,83.5,-46.65933686227741,0.060898403899375175
SMB,84,-46.53827685745793,0.06070671561881131
SMB,84.5,-46.359811457196535,0.0602243212757124
SMB,85,-46.232897412105864,0.060577037538342274
SMB,85.5,-46.04195614278713,0.05958903400738226
SMB,86,-45.873796320617544,0.05968284253049525
SMB,86.5,-45.6876703220879,0.060114608476291125
SMB,87,-45.459966341937594,0.06094875379417753
SMB,87.5,-45.194976921091325,0.06159023353307819
SMB,88,-45.00750637060938,0.06172107337999957
SMB,88.5,-45.05270792468551,0.06152722654053382
SMB,89,-45.35111226000654,0.061672184919949545
SMB,89.5,-45.67233085133148,0.06130977514538599
SMB,91,-47.05007309271361,0.059187772913240996
SMB,91.5,-47.0505802987257,0.0583768976212288
SMB,92,-47.22359572455481,0.057593686264898115
SMB,92.5,-47.4137898115504,0.05692400933083344
SMB,93,-47.55693820519523,0.05698562840699516
SMB,93.5,-47.637501543375265,0.057707243530821135
SMB,94,-47.68873532167947,0.05911301373776307
SMB,94.5,-47.6419966271851,0.0590663174331854
SMB,95,-47.683993316941674,0.05898729918310836
SMB,95.5,-47.85069793849044,0.05922232358562488
SMB,96,-48.058235314327725,0.059213364013960754
SMB,96.5,-48.293321772831234,0.05950864767360595
SMB,97,-48.426321825763765,0.0599749647752447
SMB,97.5,-48.41603061583075,0.05964108775485155
SMB,98,-48.3246457870446,0.0594144562387787
SMB,98.5,-48.18297791243261,0.05886202139116227
SMB,99,-48.132981647279856,0.05873827140696481
SMB,99.5,-48.19291321777487,0.05823516858107076
SMB,100,-48.30893860872406,0.058089386184364745
SMB,100.5,-48.347294594674075,0.05754864773080901
SMB,101,-48.32189198325437,0.057359869227125646
SMB,101.5,-48.248118884822745,0.057243293893466225
SMB,102,-48.1782074072047,0.056934773616265026
SMB,102.5,-48.12710703520666,0.0566506771848372
SMB,103,-48.10102023680771,0.05661712110421966
