species,quintile,freq_khz,mean_TS,se_TS
LT,q80,63.5,-45.160584744,0.7154058810444984
LT,q80,64,-45.03212752,0.7174007618905623
LT,q80,64.5,-44.801171976,0.7021898893577042
LT,q80,65,-44.672694551999996,0.7073800494566311
LT,q80,65.5,-44.574774888,0.7068478178894058
LT,q80,66,-44.551079879999996,0.7059606048258644
LT,q80,66.5,-44.471598736,0.7021988278212158
LT,q80,67,-44.380624016,0.686776927767061
LT,q80,67.5,-44.230713896,0.6686071322799837
LT,q80,68,-44.015676376,0.6490931122205565
LT,q80,68.5,-43.830568912,0.6354067838712858
LT,q80,69,-43.599523504,0.6232853843165611
LT,q80,69.5,-43.388861536,0.6277093187913263
LT,q80,70,-43.164074184,0.6349584609061408
LT,q80,70.5,-43.048370416,0.656422227029352
LT,q80,71,-42.966219904,0.6601658925805711
LT,q80,71.5,-42.859695888,0.6718627904290092
LT,q80,72,-42.776452768,0.67460665861894
LT,q80,72.5,-42.662655496,0.6720796061479435
LT,q80,73,-42.533043296,0.6731929807559054
LT,q80,73.5,-42.361546696,0.6466098538866437
LT,q80,74,-42.216579952,0.6320997904023361
LT,q80,74.5,-42.081273336,0.6237113900929178
LT,q80,75,-41.992895528,0.6335373213267774
LT,q80,75.5,-41.916450064,0.6448634087630912
LT,q80,76,-41.888081104,0.6485531600010039
LT,q80,76.5,-41.879076336,0.650952069807681
LT,q80,77,-41.957027656,0.6385222071788001
LT,q80,77.5,-41.934409056,0.6388423092872241
LT,q80,78,-41.825075112,0.6264651019222429
LT,q80,78.5,-41.6997394,0.6182261501997015
LT,q80,79,-41.565896976,0.623311060864632
LT,q80,79.5,-41.392073984,0.6269083264938542
LT,q80,80,-41.202889608,0.6273272537244698
LT,q80,80.5,-41.045981608,0.6299139222274799
LT,q80,81,-40.896036408,0.6227334564972494
LT,q80,81.5,-40.815240255999996,0.622297457556114
LT,q80,82,-40.69436632,0.5996024364276185
LT,q80,82.5,-40.563649944,0.5928424403866608
LT,q80,83,-40.406171287999996,0.5806331052644926
LT,q80,83.5,-40.159397464,0.5690575494876362
LT,q80,84,-39.97929972,0.5583847455530907
LT,q80,84.5,-39.705158968,0.5513756174402428
LT,q80,85,-39.548955992,0.5570427276933099
LT,q80,85.5,-39.344572056,0.5668329429324941
LT,q80,86,-39.121936624,0.5619534617688802
LT,q80,86.5,-38.840201432,0.5476369698420954
LT,q80,87,-38.506057992,0.5542039680161206
LT,q80,87.5,-38.14654372,0.5524139919967136
LT,q80,88,-37.913200056,0.5356067693697317
LT,q80,88.5,-37.991247984,0.5383350841051522
LT,q80,89,-38.294380919999995,0.5399606209762893
LT,q80,89.5,-38.706891,0.5435396963105397
LT,q80,91,-40.52743848,0.6398551688646363
LT,q80,91.5,-40.650697023999996,0.6290105237910236
LT,q80,92,-40.809211336,0.6328123369518133
LT,q80,92.5,-40.9536838,0.6297216941234243
LT,q80,93,-41.100832976,0.6403611087072875
LT,q80,93.5,-41.209634791999996,0.6437987795967818
LT,q80,94,-41.254141792,0.6422824633608617
LT,q80,94.5,-41.295433048,0.6491052663827899
