qnum,freq_khz,mean_TS,se_TS,quintile
3,131,-44.14156355438597,0.3441345431211898,Q3
3,131.5,-44.19147152631579,0.34563422172281594,Q3
3,132,-44.26365612982456,0.33956648777367743,Q3
3,132.5,-44.337650157894736,0.3466962599497648,Q3
3,133,-44.34993509473684,0.33946253307099883,Q3
3,133.5,-44.341695224561406,0.3469880321112659,Q3
3,134,-44.312951266666666,0.35171521514589205,Q3
3,134.5,-44.351540628070175,0.35562805993237356,Q3
3,135,-44.37838504561403,0.3584864705135905,Q3
3,135.5,-44.35265591578948,0.3653924557606895,Q3
3,136,-44.32256523859649,0.3742534993012601,Q3
3,136.5,-44.31303683859649,0.38402452543161014,Q3
3,137,-44.31218599298246,0.39761691502187513,Q3
3,137.5,-44.46049395087719,0.3891103277174037,Q3
3,138,-44.55105218245614,0.3795163272496727,Q3
3,138.5,-44.49990314035088,0.3927396694516533,Q3
3,139,-44.494281968421056,0.4045501993573838,Q3
3,139.5,-44.552782715789476,0.4103881683393821,Q3
3,140,-44.65005984561404,0.41379898613059307,Q3
3,140.5,-44.73602301052632,0.4101260297213272,Q3
3,141,-44.866295901754384,0.40022719583041616,Q3
3,141.5,-44.88845505263158,0.4009392273956758,Q3
3,142,-44.89148599298246,0.40266116079295744,Q3
3,142.5,-44.88580617192982,0.40847206657389706,Q3
3,143,-44.88971389473684,0.4112818599190824,Q3
3,143.5,-44.98798023508772,0.4165167167969227,Q3
3,144,-45.119361954385965,0.41276803879035895,Q3
3,144.5,-45.247624698245616,0.4088796875790924,Q3
3,145,-45.24272697894737,0.4123427002720347,Q3
3,145.5,-45.26740329122807,0.40939657572611354,Q3
3,146,-45.29825453684211,0.41469317853112736,Q3
3,146.5,-45.29903831929825,0.4276522323936825,Q3
3,147,-45.28719985964912,0.4404532137073559,Q3
3,147.5,-45.424921038596494,0.4412329086851982,Q3
3,148,-45.48019599298246,0.4458257402765072,Q3
3,148.5,-45.53273669473684,0.4378219995156912,Q3
3,149,-45.52708294736842,0.4314067854361072,Q3
3,149.5,-45.45941092631579,0.42589410381023085,Q3
3,150,-45.377667207017545,0.4327419456492922,Q3
3,150.5,-45.32802438596491,0.4329750593358388,Q3
3,151,-45.23082438947368,0.4430595930934095,Q3
3,151.5,-45.15958893333333,0.4640177164303718,Q3
3,152,-45.131059042105264,0.476501431550193,Q3
3,152.5,-45.04859820701754,0.4778549786943413,Q3
3,153,-44.90179027017544,0.47050276844857236,Q3
3,153.5,-44.89347818596491,0.47409553643998775,Q3
3,154,-44.92372985964912,0.47752731451255537,Q3
3,154.5,-44.99825052982456,0.4888250623244802,Q3
3,155,-44.95251564912281,0.4913741928164907,Q3
3,155.5,-44.86193002807018,0.48161557466465105,Q3
3,156,-44.6701682631579,0.4686335704209987,Q3
3,156.5,-44.56569294736842,0.45110706608872575,Q3
3,157,-44.48597819649123,0.44032519752667415,Q3
3,157.5,-44.48038120350877,0.4434328096181535,Q3
3,158,-44.41487933333333,0.4459822112484039,Q3
3,158.5,-44.34568963508772,0.441521842248925,Q3
3,159,-44.218782442105265,0.4275090246837872,Q3
3,159.5,-44.09989381754386,0.41879354974793886,Q3
3,160,-43.86516369824562,0.4236406661490574,Q3
3,160.5,-43.60264914035088,0.426901668775402,Q3
3,161,-43.27811245614035,0.42957530968948227,Q3
3,161.5,-43.08740150526316,0.4221851233156627,Q3
3,162,-42.8878121754386,0.4258452816429866,Q3
3,162.5,-42.71093623157895,0.44553886616772825,Q3
3,163,-42.741050192982456,0.4570425652541868,Q3
3,163.5,-42.7603910877193,0.46366394967484437,Q3
