variable,auc_drop
F143.5,-0.0022857142857143353
F165,-0.0022857142857143353
F52,-0.0034285714285714475
F66.5,-0.0034285714285714475
F97.5,-0.0034285714285714475
F105,-0.0034285714285714475
F106,-0.0034285714285714475
F106.5,-0.0034285714285714475
F111.5,-0.0034285714285714475
F118,-0.0034285714285714475
F124,-0.0034285714285714475
F130.5,-0.0034285714285714475
F140.5,-0.0034285714285714475
F147.5,-0.0034285714285714475
F150.5,-0.0034285714285714475
F162,-0.0034285714285714475
F56,-0.00457142857142856
F63.5,-0.00457142857142856
F65,-0.00457142857142856
F67,-0.00457142857142856
F82.5,-0.00457142857142856
F105.5,-0.00457142857142856
F109,-0.00457142857142856
F128.5,-0.00457142857142856
F138.5,-0.00457142857142856
F158.5,-0.00457142857142856
F164.5,-0.00457142857142856
F168.5,-0.00457142857142856
F63,-0.005714285714285672
F74,-0.005714285714285672
F80.5,-0.005714285714285672
F94.5,-0.005714285714285672
F121,-0.005714285714285672
F126,-0.005714285714285672
F145.5,-0.005714285714285672
F166.5,-0.005714285714285672
F45,-0.006857142857142895
F47.5,-0.006857142857142895
F133.5,-0.006857142857142895
F144.5,-0.006857142857142895
F154.5,-0.006857142857142895
F85.5,-0.008000000000000007
F125,-0.008000000000000007
F155.5,-0.008000000000000007
F156,-0.008000000000000007
F103.5,-0.00914285714285712
F115.5,-0.00914285714285712
F139,-0.00914285714285712
F141.5,-0.00914285714285712
F157,-0.00914285714285712
F128,-0.011428571428571455
F123.5,-0.012571428571428567
F142,-0.013714285714285679
